assumption_id,lean_name,lean_file,used_by_theorem,claim_id,assumption_type,status,justification,external_source_or_cert,failure_meaning
ASSUMP-HURWITZ-GOLDEN,D0.Bridge.BridgeAssumption.GoldenBadlyApproximableAssumption,D0/Bridge/Assumptions/Hurwitz.lean,D0-PHI-HURWITZ-001,D0-PHI-HURWITZ-001,PHYSICS_DICTIONARY,EXPLICIT,Full Hurwitz/golden worst-approximable theorem is not promoted to Core.,vp_v1142_hurwitz_phi_phase_rigidity.py,Phase rigidity remains unpromoted beyond finite core lemmas.
ASSUMP-RG-SMOOTH-INTERP,D0.Bridge.BridgeAssumption.SmoothInterpolationAssumptions,D0/Bridge/Assumptions/SmoothInterpolation.lean,phi_rg_bridge_conditional,D0-RG-001,QFT_RG_BRIDGE,EXPLICIT,Continuous RG shadow requires declared smooth interpolation and scheme data.,vp_v1145_operator_bridge_triple.py,RG claim stays finite scale algebra only.
ASSUMP-LORENTZ-MACRO,D0.Bridge.BridgeAssumption.LorentzBridgeAssumptions,D0/Bridge/LorentzBridge.lean,lorentz_bridge_promoted,D0-CARRIER-003,MACRO_LIMIT,EXPLICIT,Spin/Lorentz macro integration is conditional beyond finite Clifford matrices.,vp_v1145_operator_bridge_triple.py,"Carrier remains finite Clifford check, not macro Lorentz integration."
ASSUMP-SMOOTH-COVARIANCE,D0.Bridge.BridgeAssumption.CovarianceSystem,D0/Bridge/SmoothMetricBridge.lean,smooth_metric_bridge_conditional,D0-SMOOTH-001,SMOOTH_LIMIT,EXPLICIT,Smooth metric bridge requires covariance compatibility and nondegeneracy.,vp_v1145_operator_bridge_triple.py,Smooth macro geometry is not promoted.
ASSUMP-SMOOTH-HEATTRACE,D0.Bridge.BridgeAssumption.HeatTraceWeylAssumptions,D0/Bridge/Assumptions/HeatTraceWeyl.lean,smooth_metric_bridge_conditional,D0-SMOOTH-001,SMOOTH_LIMIT,EXPLICIT,Heat trace convergence/Weyl asymptotics/signature are bridge hypotheses.,vp_v1145_operator_bridge_triple.py,Smooth macro geometry is not promoted.
ASSUMP-HST-EXTERNAL,D0.Bridge.BridgeAssumption.ExternalHSTAssumptions,D0/Bridge/Assumptions/ExternalHST.lean,convex_response_bridge_conditional,D0-CONVEX-RESPONSE-BRIDGE,PHYSICS_DICTIONARY,EXPLICIT,External HST theorem applicability is not a Lean core theorem.,,Convex/HST bridge remains external.
ASSUMP-COMPACT-LIE-KILLING-NEGATIVE,D0.Bridge.BridgeAssumption.CompactLieKillingNegative,D0/Bridge/Assumptions/YangMillsKilling.lean,discreteYangMillsAction_nonnegative_of_killing_nonpos,D0-GAUGE-YANG-MILLS-KILLING-POSITIVITY-001,LIE_ALGEBRA_LIBRARY_GAP,EXPLICIT,Compact Lie algebra Killing-form negative semidefiniteness is assumed rather than derived in the current Lean layer.,,Yang-Mills positivity remains conditional on the declared Killing negativity hypothesis.
ASSUMP-JONES-INDEX,D0.Bridge.BridgeAssumption.JonesIndexQuantization,D0/Bridge/Assumptions/JonesIndex.lean,jones_index_phi,D0-JONES-INDEX-PHI-001,SUBFACTOR_INDEX_QUANTIZATION,EXPLICIT,Jones subfactor-index quantization (only 4cos^2(pi/n) below 4) is the external obstruction; D0 proves only the n=5 value = phi^2.,"Jones, Invent. Math. 72(1) 1-25 (1983)",phi-as-quantized-index stays a cited external corroboration not a D0 theorem.
ASSUMP-MORDELL-E8,D0.Bridge.BridgeAssumption.MordellE8Uniqueness,D0/Bridge/Assumptions/MordellE8.lean,icosian_e8_gram_finite,D0-ICOSIAN-E8-GRAM-001,LATTICE_GENUS_THEOREM,EXPLICIT,E8 is the unique even unimodular rank-8 lattice (genus theory absent from Mathlib); D0 proves only that the specific Gram is even unimodular.,"Mordell, J. Math. Pures Appl. 17 41-46 (1938)",the step 'this lattice IS E8' stays external.
ASSUMP-CONNES-RECONSTRUCTION,D0.Bridge.BridgeAssumption.ConnesReconstruction,D0/Bridge/ConnesReconstructionBridge.lean,connes_reconstruction_conditional,D0-CONNES-RECONSTRUCTION-OWNER-001,NONCOMMUTATIVE_GEOMETRY_THEOREM,EXPLICIT,Connes reconstruction (commutative spectral triple = spin manifold; metric = Connes distance) is absent from Mathlib.,"Connes, arXiv:0810.2088 (2008)",metric=spectrum stays an external owner; the rank-3=causal-cone / Connes-distance identification of D0-COMPACTNESS-LIMIT-001 stays a named gap.
ASSUMP-TOMITA-TAKESAKI,D0.Bridge.BridgeAssumption.TomitaModularFlow,D0/Bridge/TomitaTakesakiBridge.lean,tomita_modular_flow_conditional,D0-TIME-MODULAR-FLOW-OWNER-001,VON_NEUMANN_MODULAR_THEOREM,EXPLICIT,Tomita-Takesaki modular flow + Connes uniqueness (time = modular automorphism unique up to inner) is absent from Mathlib.,"Tomita 1967; Takesaki LNM 128 (1970); Connes cocycle",time=modular flow stays an external owner of the time layer; D0 proves only the Pisot/symbolic structure.
ASSUMP-COMPLEX-QM,D0.Bridge.BridgeAssumption.ComplexQMNecessity,D0/Bridge/ComplexQMBridge.lean,complex_qm_conditional,D0-COMPLEX-QM-FORCING-001,QM_FOUNDATIONS_THEOREM,EXPLICIT,Real-vector-space QM is experimentally excluded; the complex unit is forced. NAMED GAP: the experiments assume the standard QM postulates (2025 critique) so the forcing is conditional.,"Renou et al. Nature 600 625 (2021); Chen et al. PRL 128 040403 (43 sigma); Li et al. (5.30 sigma)",the complex/imaginary structure of D0 is a cited external necessity not a D0 derivation.
ASSUMP-M1-INFO-RECONSTRUCTION,D0.Bridge.BridgeAssumption.M1InfoReconstruction,D0/Bridge/M1InfoReconstructionBridge.lean,m1_info_reconstruction_conditional,D0-M1-INFO-RECONSTRUCTION-001,QM_RECONSTRUCTION_THEOREM,EXPLICIT,Finite info capacity + continuity + tomographic locality => complex Hilbert QM; an external forcing of the M1 finite-capacity premise.,"Hardy quant-ph/0101012; Masanes-Mueller NJP 13 053040 (2011); Chiribella-DAriano-Perinotti PRA 84 012311 (2011)",M1 => QM structure is a cited reconstruction-theorem family not a D0-internal derivation.
ASSUMP-VERLINDE-ENTROPIC,D0.Bridge.BridgeAssumption.VerlindeEntropicGravity,D0/Bridge/VerlindeEntropicBridge.lean,verlinde_entropic_conditional,D0-ENTROPIC-DARK-GRAVITY-001,EMERGENT_GRAVITY_PROGRAM,EXPLICIT,Verlinde emergent gravity (dark sector + gravity from one entropic structure) is a program-level proposal and criticizable; held BRIDGE not core.,"Verlinde SciPost Phys. 2 016 (2017)",the archive->gravity+dark single-entropy reading stays a cited external program.
